owner,address,price,price_m2,bathrooms,size_construction,size,rooms,description,floor,exterior,preservation,reference,furniture,last_updated
Inmuebles de  IMMOBILIARIA LA PORTA,La Pobla de Claramunt,625 €, 6  €/m², 1 baño,: 97 m² ,: 97 m² , 4 habs.,"
            Altura piso 1º, piso superficie total 97 m², superficie útil 97 m², hab. individuales: 2, habitaciones dobles: 2, 1 baño, armarios empotrados, ascensor, calefacción (gas natural), carpintería exterior (pvc), cocina, comedor, estado conservación: buen estado, portero auto., puerta blind., soleado, teléfono, terraza, suelos: parquet, vidrios dobles.
        ", 1ª,,: En buen estado,: 522168-L237,NA,"
                Actualizado el 13/11/2023
            "
Inmuebles de  RS GROUP,El Raval (Distrito Ciutat Vella. Barcelona Capital),1.400 €, 11  €/m², 1 baño,: 120 m² ,: 110 m² , 3 habs.,"
            REF RS0885", Bajo,Exterior,: En buen estado,: 515865-RS0885,NA,"
                Actualizado el 04/10/2023
            "
Inmuebles de  Alquila Tu Hogar -,Vista Alegre (Castelldefels),950 €, 19  €/m², 1 baño,: 50 m² ,, 2 habs.,"
            PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia!", Bajo,Exterior,,: SA4376-2110/21100012/19,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  RS GROUP,La Maternitat-Sant Ramon (Distrito Les Corts. Barcelona Capital),1.090 €, 24  €/m², 1 baño,: 45 m² ,: 40 m² , 1 hab,"
            REF RG6588", 10ª,Exterior,: En buen estado,: 515865-RG6588,Amueblado,"
                Actualizado el 24/10/2023
            "
"Inmuebles de  ALQUILER SEGURO,S.A.",Horta (Distrito Horta-Guinardó. Barcelona Capital),990 €, 12  €/m², 1 baño,: 78 m² ,, 4 habs.,"
            Piso de 77 m2, consta de  4 habitaciones, salón comedor con salida a amplio balcón, cocina amueblada y equipada, 1 baño, calefacción Individual, exterior. Amueblado con opción a quitar muebles consultando con la propiedad. Gastos de comunidad incluidos. finca con ascensor y acceso a terraza comunitaria, ", 3ª,Exterior,: En buen estado,: XA24-0803-004492,NA,"
                Actualizado el 14/11/2023
            "
"Inmuebles de  ALQUILER SEGURO,S.A.",Malgrat de Mar,800 €, 10  €/m², 1 baño,: 75 m² ,, 3 habs.,"
            Inmueble de 80m² ,completamente exterior situado en la ciudad costera de Malgrat de Mar.", 7ª,Exterior,: En buen estado,: XA24-0830-004510,NA,"
                Actualizado el 13/11/2023
            "
Inmuebles de  Alquila Tu Hogar -,Bonavista-Bufalà (Badalona),985 €, 8  €/m², 1 baño,: 112 m² ,, 2 habs.,"
            PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia!", 2ª,Exterior,,: SA4376-2110/21100007/39,NA,"
                Actualizado el 02/11/2023
            "
Inmuebles de  Alquila Tu Hogar -,Gràcia (Sabadell),840 €, 9  €/m², 1 baño,: 88 m² ,, 2 habs.,"
            ¡SIN COMISIÓN DE AGENCIA!", 1ª,Exterior,,: SA4376-2110/21100037/112,NA,"
                Actualizado el 06/11/2023
            "
Inmuebles de  Alquila Tu Hogar -,Can Tiana-Pont Vell (Ripollet),850 €, 11  €/m², 1 baño,: 75 m² ,, 3 habs.,"
            PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia!", 3ª,Exterior,,: SA4376-2110/21100035/20,NA,"
                Actualizado el 02/11/2023
            "
,La Verneda-La Pau (Distrito Sant Martí. Barcelona Capital),1.200 €, 20  €/m², 2 baños,: 60 m² ,: 60 m² , 3 habs.,"
            Se alquila inmueble muy luminoso excelente orientacion con 2 baños completos y 3 habitaciones (se pueden hacer 4) solo se alquila con seguro impago (piden ingreso x triple alquiler) o fianza 12 meses o aval bancario. finca bonita con pistas deportivas, parque, juegos niños, etc
        ", 1ª,Exterior,: A estrenar,: 20463770,NA,"
                Actualizado el 14/10/2023
            "
Inmuebles de  Alquila Tu Hogar -,Santa Perpètua de Mogoda,950 €, 7  €/m², 2 baños,: 120 m² ,, 4 habs.,"
            PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia!", 2ª,Exterior,,: SA4376-2110/21100054/3,NA,"
                Actualizado el 02/11/2023
            "
Inmuebles de  Alquila Tu Hogar -,Santa Perpètua de Mogoda,910 €, 9  €/m², 1 baño,: 98 m² ,, 4 habs.,"
            ¡SIN COMISIÓN DE AGENCIA!", Bajo,Exterior,,: SA4376-2110/21100054/1,NA,"
                Actualizado el 03/11/2023
            "
"Inmuebles de  ALQUILER SEGURO,S.A.",Sant Adrià de Besòs,1.350 €, 18  €/m², 2 baños,: 75 m² ,, 2 habs.,"
            Piso de 65m² útiles con amplia terraza en zona Forum. La vivienda dispone de  2 habitaciones ( 1 suite) . Amplio salón independiente con salida a terraza de 9m². Cómoda  cocina amueblada. Dispone de 2 baños ( uno de ellos en suite con bañera ) y otro en zona común con plato de ducha y mampara nueva, sistema de climatización por conductos, armarios empotrados.", 1ª,Exterior,: En buen estado,: XA24-0812-000124,NA,"
                Actualizado el 31/10/2023
            "
Inmuebles de  Alquila Tu Hogar -,Gràcia (Sabadell),975 €, 7  €/m², 2 baños,: 122 m² ,, 2 habs.,"
            ¡SIN COMISIÓN DE AGENCIA!", 2ª,Exterior,,: SA4376-2110/21100037/114,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  RS GROUP,El Putxet-El Farró (Distrito Sarrià-Sant Gervasi. Barcelona Capital),1.300 €, 26  €/m², 1 baño,: 50 m² ,: 45 m² , 1 hab,"
            REF RS0797", 1ª,Exterior,: En buen estado,: 515865-RS0797,Amueblado,"
                Actualizado el 04/10/2023
            "
Inmuebles de  Alquila Tu Hogar - ATH - MACC3,El Pedró (Cornellà de Llobregat),1.350 €, 9  €/m², 2 baños,: 140 m² ,, 3 habs.,"
            PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia!", 2ª,Exterior,,: SA4647-2201/22010022/13,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  FUSIONA PENEDÈS,Barceloneta (Vilafranca del Penedès),800 €, 6  €/m², 2 baños,: 122 m² ,, 4 habs.,"
            Vilafranca del Penedès, Barri Barceloneta, carrer Papiol. Pis de lloguer de 122m², amb 4 dormitoris, dels quals 3, son dobles, 2 banys, ampli menjador amb balcó, cuina, safareig, equipat amb mobles i electrodomèstics, pàrquing inclòs, no saccepten animals de companyia..
        ", 4ª,Exterior,,: NF270-02792,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  Alquila Tu Hogar - ATH - MACC3,Barberà del Vallès,925 €, 9  €/m², 1 baño,: 102 m² ,, 3 habs.,"
            PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia!", 2ª,Exterior,,: SA4647-2201/22010094/1,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  BEST HOUSE BARCELONA SANTS,Sant Gervasi-La Bonanova (Distrito Sarrià-Sant Gervasi. Barcelona Capital),A consultar,, 2 baños,: 280 m² ,: 240 m² , 5 habs.,"
            Piso en Barcelona zona , 280 m. de superficie, 5 habitaciones dobles, 2 baños, propiedad para entrar a vivir.", Bajo,,,: SA431-719210/5661,NA,"
                Actualizado el 27/10/2023
            "
Inmuebles de  NOVA CORDELLES S.L.,Centre-Cordelles (Cerdanyola del Vallès),800 €, 13  €/m², 1 baño,: 61 m² ,: 56 m² , 2 habs.,"
            Nova cordelles inmobiliaria alquila fantástico piso en el centro  de 56m², cerca de todos los servicios esenciales necesarios en el día a día, y a tan solo 10 minutos caminando de la estación de renfe. ", 3ª,,: En buen estado,: 501135-091064,NA,"
                Actualizado el 07/11/2023
            "
Inmuebles de  Alquila Tu Hogar -,Sant Ildefons (Cornellà de Llobregat),935 €, 15  €/m², 1 baño,: 62 m² ,, 3 habs.,"
            PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia!", 5ª,Exterior,,: SA4376-2110/21100053/3,NA,"
                Actualizado el 07/11/2023
            "
"Inmuebles de  ALQUILER SEGURO,S.A.",Estruch-Eixample (El Prat de Llobregat),900 €, 13  €/m², 1 baño,: 65 m² ,, 3 habs.,"
            Piso de 3 dormitorios exteriores (1 doble), salón/comedor amplio exterior y luminoso con acceso a dos balcones, cocina amueblada con placa inducción y 1 baño con bañera. ", 1ª,Exterior,: En buen estado,: XA24-0820-004501,NA,"
                Actualizado el 11/11/2023
            "
Inmuebles de  NOVA CORDELLES S.L.,Serraparrera (Cerdanyola del Vallès),950 €, 12  €/m², 1 baño,: 76 m² ,: 76 m² , 4 habs.,"
            Nova cordelles inmobiliaria, alquila cómodo piso de 76 m² , en una ubicación excelente , ya que se encuentra a solo unos pasos del mercado municipal ,  el cap y la parada del bus. ", 3ª,Exterior,: En buen estado,: 501135-090934,Amueblado,"
                Actualizado el 10/11/2023
            "
Inmuebles de  Alquila Tu Hogar -,El Castell-Poble Vell (Castelldefels),1.650 €, 12  €/m², 2 baños,: 137 m² ,, 4 habs.,"
            PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia!", 4ª,Exterior,,: SA4376-2110/21100012/25,NA,"
                Actualizado el 06/11/2023
            "
Inmuebles de  Alquila Tu Hogar -,Sant Ildefons (Cornellà de Llobregat),1.020 €, 11  €/m², 2 baños,: 89 m² ,, 3 habs.,"
            ¡SIN COMISIÓN DE AGENCIA!", 7ª,Exterior,,: SA4376-2110/21100053/2,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  NOVA CORDELLES S.L.,Centre-Cordelles (Cerdanyola del Vallès),900 €, 13  €/m², 1 baño,: 65 m² ,: 65 m² , 3 habs.,"
            Nova cordelles inmobilaria alquila  en contrato temporal soleado atico  de 65 m²  ubicado en el centro de cerdanyola, y con todos los servicios esenciales necesarios, como  farmacias, supermercados, centros médicos y demás,  al alcance de tu mano.", 5ª,Exterior,: En buen estado,: 501135-091067,NA,"
                Actualizado el 11/11/2023
            "
Inmuebles de  Alquila Tu Hogar -,La Nova Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),1.800 €, 14  €/m², 2 baños,: 124 m² ,, 3 habs.,"
            ¡SIN COMISIÓN DE AGENCIA!", 2ª,Exterior,,: SA4376-2110/21100008/165,NA,"
                Actualizado el 02/11/2023
            "
Inmuebles de  RS GROUP,El Fort Pienc (Distrito Eixample. Barcelona Capital),2.000 €, 40  €/m², 1 baño,: 50 m² ,: 50 m² , 1 hab,"
            REF RS6556", 8ª,Exterior,: Reformado,: 515865-RS6556,Amueblado,"
                Actualizado el 08/09/2023
            "
Inmuebles de  Alquila Tu Hogar -,El Poble-sec (Distrito Sants-Montjuïc. Barcelona Capital),950 €, 21  €/m², 1 baño,: 45 m² ,, 1 hab,"
            PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia!", 2ª,Exterior,,: SA4376-2110/21100008/166,NA,"
                Actualizado el 02/11/2023
            "
Inmuebles de  RS GROUP,El Raval (Distrito Ciutat Vella. Barcelona Capital),1.800 €, 24  €/m², 1 baño,: 75 m² ,: 75 m² , 2 habs.,"
            RG6695", 4ª,Exterior,: Reformado,: 515865-RG6695,Amueblado,"
                Actualizado el 16/10/2023
            "
Inmuebles de  RS GROUP,L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),2.200 €, 31  €/m², 1 baño,: 70 m² ,: 65 m² , 2 habs.,"
            REF RS0976", 1ª,Exterior,: En buen estado,: 515865-RS0976,Amueblado,"
                Actualizado el 02/10/2023
            "
Inmuebles de  Alquila Tu Hogar -,Can Pantiquet-Riera Seca (Mollet del Vallès),890 €, 6  €/m², 2 baños,: 132 m² ,, 4 habs.,"
            PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia!", 4ª,Exterior,,: SA4376-2110/21100052/1,NA,"
                Actualizado el 03/11/2023
            "
Inmuebles de  ALQUILA TU HOGAR,Bonavista-Bufalà (Badalona),850 €, 16  €/m², 1 baño,: 53 m² ,, 2 habs.,"
            ¡SIN COMISIÓN DE AGENCIA!", 3ª,Exterior,: En buen estado,: SA3458-2001/20010029/57,NA,"
                Actualizado el 07/11/2023
            "
Inmuebles de  Alquila Tu Hogar -,Vista Alegre (Terrassa),730 €, 14  €/m², 1 baño,: 52 m² ,, 1 hab,"
            ¡SIN COMISIÓN DE AGENCIA!", 2ª,Exterior,: En buen estado,: SA4376-2110/21100044/158,NA,"
                Actualizado el 02/11/2023
            "
,Raval-Santa Rosa-Safaretjos (Santa Coloma de Gramenet),1.080 €, 19  €/m², 1 baño,: 55 m² ,, 2 habs.,"
            Pisos totalmente nuevo a estrenar, de 1 y 2 habitaciones con ascensor persianas electricas aire acondicionado, aerotermia. (propietarios) 684145658 
        ", 1ª,,: A estrenar,: 20523044,NA,"
                Actualizado el 02/11/2023
            "
,L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),2.900 €, 20  €/m², 2 baños,: 140 m² ,: 120 m² , 3 habs.,"
            Ático a estrenar de 140 m² con 120 m² de superficie útil ubicado en la zona de Barcelonès, en una edificación de entre 30 y 50 años de antigüedad, exterior, soleado y emplazado en la 8ª planta. Está organizado en 3 habitaciones, 2 baños, cocina equipada y terraza. Brinda como acabados carpintería exterior en aluminio, suelo de gres, vidrios dobles, aire acondicionado (frío), calefacción (central), amueblado y más de 2 armarios empotrados. El ático presenta puerta blindada y está adaptado a personas con discapacidad. Ofrece el siguiente extra: ascensor.
        ", 8ª,Exterior,: A estrenar,: 20531079,Amueblado,"
                Actualizado el 04/11/2023
            "
,La Clota (Distrito Horta-Guinardó. Barcelona Capital),1.100 €, 3  €/m², 5 baños,: 348 m² ,: 27 m² , 8 habs.,"
            Villa de lujo 348 m2, alquila loft de 27 m2, barrio residencial, céntrico alto standing, cerca de tres estaciones de metro a 7 minutos y varias conexiones  de buses, sin cocina,  para una persona, con posibilidad de usar zonas comunes.", Principal,Exterior,: A estrenar,: 20512698,NA,"
                Actualizado el 30/10/2023
            "
,Eixample (Mataró),1.100 €,,2ª planta,,: 78 m² , 1 baño,"
            Totalmente amueblada", 2ª,,: En buen estado,: 20464257,NA,"
                Actualizado el 15/10/2023
            "
,Centre (Cornellà de Llobregat),1.300 €, 19  €/m², 1 baño,: 68 m² ,: 65 m² , 2 habs.,"
            Nuevo y elegante,  con ascensor y parking y videoportero.  Amueblado Centro. Con acceso a renfe, tranvia. Ferrocarril metro y bus. Cerca de hospital, mercado,federación de tenis y campo de futbol.  Pocos vecinos,zona tranquila y con muchos servicios. Ideal para teletrabajo con despacho", 2ª,,: En buen estado,: 20281265,NA,"
                Actualizado el 08/08/2023
            "
,La Vila de Gràcia (Distrito Gràcia. Barcelona Capital),1.200 €,,1ª planta,,: 40 m² , 1 baño,"
            Piso, con 40 m² de superficie útil emplazado en la zona de Barcelonès, en una edificación de menos de 5 años de antigüedad y emplazado en la 1ª planta. Está organizado en 1 habitación doble, 1 baño completo, balcón y dotado con instalaciones de agua y luz (otra compañía). Incluye como acabados suelo de parquet, vidrios dobles, carpintería exterior en madera, muebles, 1 armario empotrado y aire acondicionado (frío y calor).  
        ", 1ª,,: A estrenar,: 20225820,NA,"
                Actualizado el 19/07/2023
            "
,Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital),A consultar,, 1 baño,: 42 m² ,, 1 hab,"
            Gracias por contactarme. ", 1ª,,: En buen estado,: 20423589,NA,"
                Actualizado el 03/10/2023
            "
Inmuebles de  Testa Residencial,Provençals del Poblenou (Distrito Sant Martí. Barcelona Capital),1.665 €,,2ª planta,: 100 m² ,: 71 m² , 2 habs.,"
            Consigue ¡Hasta 2 meses gratis! Y disfruta este otoño en tu nuevo hogar", 2ª,,,: XA614-9927,NA,"
                Actualizado el 14/11/2023
            "
Inmuebles de  SOMOSCASA,El Carmel (Distrito Horta-Guinardó. Barcelona Capital),1.100 €,, 1 baño,: 65 m² ,, 2 habs.,"
            **contrato de temporada** piso exterior reformado de 2 habitaciones dobles exteriores. Amueblado y equipado. Salón-comedor muy luminoso. Cocina reformada equipada con nevera y lavadora. Lavadero. Baño completo con plato de ducha. Suministros dados de alta. Gastos de comunidad incluidos. Registro de agentes inmobiliarios. Aicat:7277", 2ª,,: En buen estado,: IF6507-150833,NA,"
                Actualizado el 13/11/2023
            "
Inmuebles de  FINCAS DOMUS,Centre (El Prat de Llobregat),1.500 €,, 2 baños,: 83 m² ,: 70 m² , 3 habs.,"
            En El Prat  de Llobregat, Carretera de la Bunyola  ", 1ª,Exterior,: A estrenar,: 501106-005194,NA,"
                Actualizado el 14/11/2023
            "
Inmuebles de  SOMOSCASA,Sants-Badal (Distrito Sants-Montjuïc. Barcelona Capital),1.500 €,, 1 baño,: 76 m² ,, 3 habs.,"
            **CONTRATO TEMPORAL**Magnifico piso de 3 habitaciones totalmente amueblado y equipado. Dispone de salón comedor luminoso. Cocina a estrenar totalmente equipada con electrodomesticos. Baño nuevo con plato de ducha. Parquet. Todas la habitaciones se entregan con cama doble. Inmejorable zona en el Barrio de Sants. Balcón. Acceso a terraza comunitaria. Suministros dados de alta. Listo para entrar. Gastos de comunidad no incluidos.
        ", Bajo,,: En buen estado,: IF6507-152868,Amueblado,"
                Actualizado el 13/11/2023
            "
Inmuebles de  ALL 4 FLAT,El Raval (Distrito Ciutat Vella. Barcelona Capital),1.150 €,, 1 baño,: 52 m² ,: 52 m² , 2 habs.,"
            REF 000638H", 1ª,Exterior,: En buen estado,: 518209-000638H,Amueblado,"
                Actualizado el 14/11/2023
            "
,L'Antiga Esquerra de l'Eixample (Distrito Eixample. Barcelona Capital),A consultar,,3ª planta,,: 62 m² , 1 baño,"
            Piso muy luminoso 2 habitaciones dobles,reformado en zona peatonal,trastero,cerca de todos los transportes publicos ,en el coazon de bcn,62 m2 exteriorcon balcones y atras a patio de manzana
        ", 3ª,,: Reformado,: 20281317,NA,"
                Actualizado el 08/08/2023
            "
,Baixador (Castelldefels),1.150 €, 17  €/m², 1 baño,: 65 m² ,, 2 habs.,"
            Se alquila acogedor apartamento en Castelldefels playa, barrio de Baixador. A 300m del mar.", 2ª,Exterior,: Reformado,: 20548861,Amueblado,"
                Actualizado el 09/11/2023
            "
,Can Llong (Sabadell),1.400 €, 13  €/m², 2 baños,: 104 m² ,, 2 habs.,"
            Piso obra vista de 104m2 en perfecto estado, muy luminoso y con bonitas vistas a zona ajardinada comunitaria con pista de pádel y piscina, y ubicado en el entorno natural del Parc d’Odessa, a tan sólo 10 minutos del centro de la ciudad de Sabadell y a 20 minutos de Barcelona. El piso es todo exterior y distribuido en 2 habitaciones dobles (una de ellas suite), 2 baños completos, salón-comedor amplio con grandes cristaleras y salida a terraza de 9m2, cocina equipada con horno, campana y vitrocerámica gas-eléctrica, suelo parquet de haya, armarios empotrados, ventanas y persianas de aluminio, calefacción de gas natural, pre-instalación central de aire acondicionado, equipado con energía solar para ahorro energético, ascensor y videoportero automático. Sin amueblar. Estado impecable. Se entrega recién pintado y limpio. Servicios dados de alta y listo para entrar a vivir. ", 1ª,Exterior,: En buen estado,: 20536679,NA,"
                Actualizado el 06/11/2023
            "
,La Pobla de Claramunt,575 €, 8  €/m², 1 baño,: 65 m² ,, 2 habs.,"
            Se alquila piso en La Pobla de Claramunt en buen estado, muy cerca de la estación de FFCC.", 1ª,,: En buen estado,: 20554937,NA,"
                Actualizado el 12/11/2023
            "
,Montmeló,931 €, 8  €/m², 2 baños,: 112 m² ,: 90 m² , 2 habs.,"
            Âtic dúplex de 112 m2 construits i 90,15 m2 útils, menjador amb sortida a balcó de 5 m2, cuina office, 2 habitacions i un bany. A sota coberta ampli estudi amb bany amb banyera, traster i sortida a un solarium de 14 m2. En zona molt tranquila de Montmeló amb serveis a prop i bona conexió a C-17. El lloguer és amb opció a compra, durada del contracte 7 anys Demanem 1 mes de fiança i 2 mesos de dipòsit de garantia i el mes corrent. Requisits econòmics reals i justificables ( 3 últimes nómines de les persones que conviuran en el pis, última renda, pensions, autònoms, etc...)
        ", 3ª,Exterior,: En buen estado,: 20541369,NA,"
                Actualizado el 08/11/2023
            "
,Viladecavalls,765 €, 16  €/m², 1 baño,: 47 m² ,, 1 hab,"
            Piso de particular a particular sin gastos (solamente el contrato-50€) ", 1ª,,: A estrenar,: 20554876,NA,"
                Actualizado el 12/11/2023
            "
,Centre (Terrassa),1.100 €, 9  €/m², 2 baños,: 115 m² ,, 3 habs.,"
            Pis gran de 3 habitacions, 2 banys, tot exterior,cuina office, habitació suite, aire acondicionat, parquet. Comunitat molt tranquil·la amb només 10 veïns. Plaça de parking gran en el mateix edifici. Al centre, aprop d´escoles, institut i el CAP. A 10´ caminant de Renfe i FGC. Disponibilitat immediata.
        ", 2ª,,: En buen estado,: 20410976,NA,"
                Actualizado el 28/09/2023
            "
,Nord-El Sucre-Universitat (Vic),910 €, 9  €/m², 2 baños,: 100 m² ,, 4 habs.,"
            Por temporada. Apto estudiantes y amueblado. Piso 100 m² soleado con mucha luz. Y a 3 vientos, todo exterior en zona sucre, a 3 mmin universidad vic, tranquilo y con vistas a la naturaleza.", 2ª,Exterior,: En buen estado,: 20311443,NA,"
                Actualizado el 25/08/2023
            "
,La Clota (Distrito Horta-Guinardó. Barcelona Capital),3.600 €, 19  €/m², 2 baños,: 182 m² ,, 4 habs.,"
            Villa de lujo 348 m2, alquila apartamento de 180 m2, con 4 dormitorios dobles, totalmente independiente, con vistas panorámicas, solárium, 2 terrazas, en barrio residencial, céntrico de alto standing, cerca de tres estaciones de metro a 7 minutos; Estación de metro Horta, Monbau y Vall H’ebrom, también con variadas  conexiones de buses, con cocina a estrenar, para 7 personas.", 1ª,Exterior,: A estrenar,: 20512683,Amueblado,"
                Actualizado el 30/10/2023
            "
,La Marina del Port-Parc de Montjuïc (Distrito Sants-Montjuïc. Barcelona Capital),1.200 €, 15  €/m², 1 baño,: 80 m² ,: 75 m² , 2 habs.,"
            VIVIENDA EN EL ENTORNO NATURAL DE MONTJUIC", Bajo,,: En buen estado,: 20505786,NA,"
                Actualizado el 27/10/2023
            "
,Barri Antic (Manresa),750 €, 7  €/m², 1 baño,: 94 m² ,, 3 habs.,"
            ", 1ª,Exterior,: Reformado,: 20548991,NA,"
                Actualizado el 10/11/2023
            "
,Sant Pere (Distrito Sant Pere-Zona Esportiva. Terrassa),950 €, 7  €/m², 1 baño,: 120 m² ,: 110 m² , 3 habs.,"
            Vivienda tipo casa independiente, no tiene vecinos, 3 habitaciones dobles, cocina americana y exterior. Calefacción gas, comedor con salida a las 2 terrazas, trastero. Abstenerse immobiliarias.
        ", 1ª,,: Reformado,: 20502098,NA,"
                Actualizado el 26/10/2023
            "
Inmuebles de  ALL 4 FLAT,El Fort Pienc (Distrito Eixample. Barcelona Capital),1.275 €, 21  €/m², 1 baño,: 59 m² ,: 53 m² , 2 habs.,"
            REF : 002404A", 4ª,Exterior,: En buen estado,: 518209-002404A,NA,"
                Actualizado el 09/11/2023
            "
Inmuebles de  Alquila Tu Hogar -,Ca n'Anglada (Terrassa),645 €,,2ª planta,: 48 m² ,, 1 baño,"
            ¡SIN COMISIÓN DE AGENCIA!", 2ª,Exterior,: En buen estado,: SA4376-2110/21100044/303,NA,"
                Actualizado el 07/11/2023
            "
,Poble Nou-Zona Olímpica (Distrito Sant Pere-Zona Esportiva. Terrassa),790 €, 12  €/m², 1 baño,: 64 m² ,: 64 m² , 2 habs.,"
            Piso de 64 m² muy bien distribuidos. Vistas a la ciudad. Piscina comunitaria y zona verde. Muy cerca estación Terrassa Nacions Unides. ", 4ª,Exterior,: En buen estado,: 20536572,NA,"
                Actualizado el 06/11/2023
            "
,Can Mas (Ripollet),830 €,,4ª planta,,: 62 m² , 1 baño,"
            Piso de 75 m2 con  reforma integral, se alquila amueblado y con electrodomésticos, 2 habitaciones, 1 baño, amplio balcon, vistas espectaculares, orientación sur, calefacción individual,  AACC con bomba de calor en comedor y habitacion principal, planta 4°, atico, sin ascensor,", 4ª,,: En buen estado,: 20531404,Amueblado,"
                Actualizado el 05/11/2023
            "
,La Florida (L'Hospitalet de Llobregat),1.050 €, 20  €/m², 1 baño,: 51 m² ,, 3 habs.,"
            Finca muy tranquila. Piso reformado con pavimento cerámico imitación madera con dos balcones. Los interesados pueden pedir fotos. ", 3ª,,: Reformado,: 20471228,NA,"
                Actualizado el 17/10/2023
            "
Inmuebles de  Engel & Völkers Barcelona,La Sagrada Família (Distrito Eixample. Barcelona Capital),2.400 €, 43  €/m², 1 baño,: 55 m² ,, 1 hab,"
            Apartamentos recién remodelados y listos para estrenar, su decoración atemporal te hará sentir la calidez de tu nuevo hogar. El apartamento cuenta con 1 habitacion, un baño y una zona para trabajar. ¡Su acogedor estilo te enamorará!", Bajo,,: En buen estado,: IF76306-I-00KJMB-W-02RWAU,Amueblado,"
                Actualizado el 03/11/2023
            "
Inmuebles de  ALL 4 FLAT,El Raval (Distrito Ciutat Vella. Barcelona Capital),1.390 €, 21  €/m², 1 baño,: 65 m² ,: 65 m² , 2 habs.,"
            REF: 006056", 4ª,Exterior,: En buen estado,: 518209-003056,Amueblado,"
                Actualizado el 08/11/2023
            "
Inmuebles de  GESTIó HABITATGE,La Garriga,850 €, 9  €/m², 4 baños,: 90 m² ,: 90 m² , 3 habs.,"
            Superficie total 90 m², piso superficie útil 90 m², hab. individuales: 2, habitaciones dobles: 1, hab. dobles son suites: 1, 2 baños, 2 aseos, ascensor, calefacción, carpintería exterior (aluminio), carpintería interior (sapelly), cocina (oficce), comedor, estado conservación: buen estado, parking, gastos de comunidad: , lavadero, portero auto., puerta blind., suelos: parquet y gres, nivel energético de emisiones:  E, 25, nivel energético de consumo:  E, 123.
        ", Bajo,,: En buen estado,: 3413-0685,NA,"
                Actualizado el 09/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Pere-Santa Caterina-La Ribera (Distrito Ciutat Vella. Barcelona Capital),2.490 €, 27  €/m², 1 baño,: 90 m² ,, 2 habs.,"
            Apartamento temporal situado en Sant Gervasi muy cerca del Mercado de Galvany, una de las zonas más exclusivas de Barcelona. Apartamento completamente equipado para garantizar una cómoda estancia El apartamento cuenta con servicios incluidos: Wifi, 2 limpiezas mantenimiento al mes, suministros hasta 120€/mes, gastos de gestión ITP. Los pisos tienen Aire acondicionado y están totalmente equipado y listo para entrar a vivir. El edificio cuenta con ascensor. Los pisos tiene una ubicación excepcional a tan sólo 1 minuto andando de la parada de ferrocarriles de muntaner.", Bajo,,,: IF76306-I-00KSJ3-W-02TWDV,Amueblado,"
                Actualizado el 06/11/2023
            "
Inmuebles de  Engel & Völkers Barcelona,Sant Gervasi-Galvany (Distrito Sarrià-Sant Gervasi. Barcelona Capital),4.500 €, 17  €/m², 3 baños,: 260 m² ,, 5 habs.,"
            En la zona de Turo Park encontramos este amplio y luminoso piso de 240m2 y 12m2 de terraza. El piso dispone de un amplio salón con chimenea de 50 m2 que da acceso a una terraza de 12m2. Desde el salón se accede a la cocina totalmente equipada, la cual dispone de lavadero, y entrada independiente para la zona del servicio, con habitación, baño, y ropero para zona de plancha.La zona de noche dispone de 4 habitaciones y dos baños. La habitación principal dispone de armarios empotrados y baño completo en suite. Las otras tres habitaciones son dobles y exteriores. Una de ellas esta destinada a vestidor. A través de una escalera se accede al altillo abuhardillado que puede utilizarse como estudio, habitacion de invitados o sala de juegos. El altillo dispone tambien de baño completo, y tiene entrada independiente desde el exterior. En el precio están incluidas dos plazas de aparcamiento y un trastero.", Bajo,,,: IF76306-I-00KRWR-W-02TJZS,NA,"
                Actualizado el 03/11/2023
            "
